Room,Campus,Capacity,Room Type,Frequency,Occupancy,Utilization
0113_00_G.205,Central,14,Boardroom Style,0.19739739739739737,0.8837209302325582,0.17444421165351395
0113_01_1.26,Central,10,Boardroom Style,0.06056056056056057,0.9821428571428573,0.059479121979122
0113_01_1.416,Central,40,Classroom Style,0.2684684684684685,0.6055555555555555,0.16257257257257257
0113_01_1.42,Central,20,Classroom Style,0.21581581581581585,0.8414634146341462,0.18160111330843037
0113_01_1.425,Central,260,Lecture Theatre,0.27777777777777785,0.4940723981900452,0.13724233283056816
0113_01_1.434,Central,28,Classroom Style,0.28018018018018015,0.7349094567404427,0.20590706400565556
0113_01M_01M.19,Central,14,Classroom Style,0.19729729729729728,0.9402332361516035,0.18550547632180284
0113_01M_01M.20,Central,12,Boardroom Style,0.1580580580580581,0.9636752136752136,0.15231663287218844
0113_01M_01M.27,Central,12,Boardroom Style,0.2289289289289289,0.9717261904761906,0.22245623599790268
0113_01M_01M.469,Central,40,Classroom Style,0.24699699699699704,0.6328947368421053,0.1563230994152047
0113_01M_01M.473,Central,48,Classroom Style,0.18433333333333338,0.6058052434456929,0.11167009987515608
0113_01M_01M.474,Central,10,Classroom Style,0.08157894736842107,0.9717948717948718,0.07927800269905534
0113_02_2.26,Central,12,Classroom Style,0.26116116116116106,0.9798387096774194,0.25589581517000864
0113_02_2.27,Central,12,Boardroom Style,0.31551551551551543,1.0,0.31551551551551543
0113_02M_02M.24,Central,10,Boardroom Style,0.04614614614614614,0.905263157894737,0.0417744059849323
0113_03_3.3,Central,10,Boardroom Style,0.1222222222222222,0.9206896551724137,0.11252873563218388
0008_00_G.251,Central,24,Classroom Style,0.21011011011011008,0.7291666666666667,0.1532052886219553
0008_00_G.252,Central,16,Boardroom Style,0.222022022022022,0.8561046511627907,0.19007408571362058
0008_02_2.365,Central,16,Boardroom Style,0.24184184184184182,0.7902542372881356,0.19111654026908262
0008_02_2.403,Central,45,Classroom Style,0.2965965965965965,0.5883597883597884,0.17450551080180704
0008_-1_B.152,Central,14,Classroom Style,0.2189189189189188,0.8408521303258145,0.18407843934159712
0008_-1_B.153,Central,15,Boardroom Style,0.27237237237237244,0.9111111111111112,0.24816149482816158
0008_-1_B.154,Central,15,Classroom Style,0.23653653653653675,0.9535353535353535,0.22554594999039462
0001_00_G.158,Central,30,Boardroom Style,0.3097097097097096,0.8348837209302326,0.25857159485066455
0001_00_G.159,Central,108,Classroom Style,0.2837837837837837,0.631669805398619,0.17925764747798645
0001_01_1.264,Central,150,Lecture Theatre,0.2428428428428429,0.6701754385964913,0.16274730871222107
0001_01_1.265,Central,22,Boardroom Style,0.17957957957957957,0.8375,0.1503978978978979
