Room,Campus,Capacity,Room Type,Frequency,Occupancy,Utilization
0112_-1_B.02,Central,40,Classroom Style,0.34694694694694694,0.7668103448275864,0.2660425080252667
0112_-1_B.06,Central,25,Classroom Style,0.2882882882882881,0.6995555555555556,0.20167367367367356
0283_01_1.01,Central,12,Boardroom Style,0.25005005005004993,1.0,0.25005005005004993
0283_01_1.17,Central,26,Classroom Style,0.48088088088088066,0.7980769230769231,0.38377993377993364
0283_01_1.20,Central,46,Classroom Style,0.4439439439439438,0.7109974424552429,0.3156430087376378
0283_03_3.10,Central,56,Classroom Style,0.3432432432432433,0.622072599531616,0.21352221659598714
0228_06_6.14,Central,12,Boardroom Style,0.0,0.0,0.0
0228_08_8.16,Central,15,Boardroom Style,0.0,0.0,0.0
0450_01_1.62,Central,12,Specialist Room,0.16426426426426427,2.272727272727273,0.37332787332787337
0450_01_1.63,Central,8,Specialist Room,0.28228228228228225,3.734375,1.0541478978978978
0228_11_11.10,Central,36,Classroom Style,0.0,0.0,0.0
0450_02_2.35,Central,128,Classroom Style,0.25085085085085096,0.63671875,0.15972144019019027
0450_02_2.55,Central,68,Specialist Room,0.17142142142142142,0.5815508021390375,0.09969026513144162
0450_02_2.63,Central,8,Specialist Room,0.023856209150326796,0.95,0.022663398692810456
0450_03_3.32,Central,12,Specialist Room,0.1615615615615616,2.16260162601626,0.34939329573475925
0450_03_3.42,Central,8,Specialist Room,0.024393358876117495,1.35,0.03293103448275862
0450_03_3.43,Central,12,Specialist Room,0.13443443443443442,1.8958333333333335,0.2548652819486153
0450_03_3.62,Central,12,Specialist Room,0.05565565565565566,0.9111111111111111,0.05070848626404182
0450_03_3.63,Central,8,Specialist Room,0.02681992337164751,0.575,0.015421455938697317
0103_01_1.B04,Central,20,Classroom Style,0.2582582582582582,0.9109375,0.2352571321321321
0103_01_1.B09,Central,16,Boardroom Style,0.11531531531531526,0.5091463414634146,0.05871237090749283
0103_01_1.B10,Central,20,Classroom Style,0.20310310310310303,0.9124999999999999,0.1853315815815815
0103_01_1.B15,Central,16,Classroom Style,0.1312312312312312,0.5706168831168831,0.0748827561327561
0103_01_1.B19,Central,20,Boardroom Style,0.17325325325325322,0.38466666666666666,0.06664475141808474
0103_03_3.D02,Central,40,Classroom Style,0.2592592592592593,0.7359756097560974,0.19080849141824752
0311_02_2.01,Central,22,Boardroom Style,0.2225225225225226,0.7898989898989898,0.17577031577031582
0311_02_2.05,Central,31,Classroom Style,0.28058058058058066,0.7320788530465949,0.2054071096185792
0311_02_2.13,Central,80,Lecture Theatre,0.31371371371371376,0.6911458333333332,0.21682192609275944
0311_04_4.08,Central,14,Boardroom Style,0.21531531531531536,0.9015873015873015,0.19412555412555416
0311_04_4.09,Central,16,Boardroom Style,0.2019019019019019,0.8263888888888888,0.16684948837726615
0225_02_2.201,Central,458,Lecture Theatre,0.37097097097097126,0.7720737032697836,0.28641693136314517
0300_00_NG.01,Central,36,Classroom Style,0.2437937937937937,0.6622023809523808,0.16144083071166396
0300_00_NG.02,Central,36,Classroom Style,0.23408408408408404,0.7368827160493825,0.17249251566381188
0300_00_NG.03,Central,16,Classroom Style,0.17377377377377376,0.9303571428571429,0.16167167167167165
0300_00_NG.04,Central,16,Boardroom Style,0.16316316316316318,0.9325657894736842,0.1521603840682788
0335_00_G.01,Central,120,Lecture Theatre,0.37266081871345036,0.590686274509804,0.22012563066162147
0335_00_G.09,Central,32,Classroom Style,0.31191191191191187,0.6893825301204819,0.2150266230085507
0335_00_G.10,Central,32,Classroom Style,0.30438596491228076,0.6538194444444444,0.19901346247563356
0335_00_G.12,Central,17,Boardroom Style,0.2726726726726727,0.8315054835493518,0.22672882254138485
0335_00_G.13,Central,48,Classroom Style,0.31422222222222224,0.7934027777777778,0.2493047839506173
0335_00_G.17,Central,14,Boardroom Style,0.25315315315315295,0.9140211640211638,0.23138733972067282
0335_01_1.1,Central,25,Classroom Style,0.30685685685685676,0.6951724137931036,0.213318421870146
0335_01_1.2,Central,44,Classroom Style,0.26700779727095514,0.6862745098039216,0.1832406451859496
0335_01_1.3,Central,30,Classroom Style,0.32547547547547556,0.8543209876543211,0.278060529665468
0335_01_1.4,Central,16,Classroom Style,0.28838838838838854,0.7859848484848485,0.22666890375223722
0335_01_1.9,Central,32,Classroom Style,0.2764764764764765,0.8273305084745762,0.22873742386454252
0335_02_2.1,Central,25,Classroom Style,0.1868868868868869,0.5184615384615385,0.09689366289366291
0335_02_2.18,Central,16,Boardroom Style,0.25605605605605597,0.8102134146341463,0.2074600515149295
0335_02_2.2,Central,44,Classroom Style,0.24356725146198832,0.40980113636363635,0.09981413643009038
0335_02_2.3,Central,40,Classroom Style,0.2818818818818818,0.7888297872340425,0.22235682491001632
0335_02_2.4,Central,16,Classroom Style,0.2785785785785786,0.7932692307692307,0.22098781473781473
0335_03_3.1,Central,25,Classroom Style,0.26726726726726724,0.683448275862069,0.1826633530081806
0335_03_3.2,Central,40,Classroom Style,0.14374374374374374,0.7189655172413794,0.103346795070933
0335_03_3.3,Central,40,Classroom Style,0.25705705705705706,0.7052884615384615,0.18129937629937629
0335_03_3.4,Central,16,Boardroom Style,0.21481481481481485,0.8083333333333333,0.173641975308642
0335_04_4.1,Central,30,Classroom Style,0.29869869869869875,0.8471014492753624,0.2530281005643325
0335_04_4.2,Central,32,Classroom Style,0.32872872872872866,0.8077445652173914,0.2655288440614527
0335_04_4.3,Central,60,Classroom Style,0.29679679679679694,0.7268115942028984,0.21571535303419367
0335_05_5.1,Central,25,Classroom Style,0.3095095095095097,0.8013114754098362,0.2480135217184399
0335_05_5.2,Central,32,Classroom Style,0.33603603603603605,0.8203125,0.2756545608108108
0335_05_5.3,Central,50,Classroom Style,0.32412412412412434,0.7167213114754099,0.23230666732306093
0113_00_G.03,Central,50,Classroom Style,0.2946251129177959,0.6263492063492061,0.1845382056466067
0113_00_G.07,Central,170,Lecture Theatre,0.27027027027027045,0.7211951447245564,0.19491760668231267
0113_00_G.09,Central,15,Boardroom Style,0.2890890890890891,0.9598173515981735,0.27747272386541794
0113_00_G.10,Central,15,Boardroom Style,0.3844844844844844,0.9723076923076922,0.37383722183722173
0113_00_G.11,Central,15,Boardroom Style,0.37857857857857863,0.9758865248226949,0.3694497334213646
0113_00_G.12,Central,15,Boardroom Style,0.406106106106106,0.9624242424242424,0.39084636151302804
0113_00_G.13,Central,26,Boardroom Style,0.3745745745745746,0.7698412698412698,0.2883629661407439
0113_00_G.14,Central,26,Boardroom Style,0.31371371371371376,0.6201079622132254,0.19453637172935423
0113_00_G.15,Central,29,Classroom Style,0.361061061061061,0.8293103448275861,0.2994316730523626
0113_00_G.152,Central,200,Lecture Theatre,0.28658658658658676,0.8135616438356166,0.23315585448462178
0113_00_G.16,Central,45,Classroom Style,0.33123123123123144,0.6605200945626478,0.21878488417495526
0113_00_G.199,Central,8,Boardroom Style,0.0,0.0,0.0
0113_00_G.200,Central,16,Boardroom Style,0.3542542542542542,0.8967391304347826,0.3176736519127823
0113_00_G.202B,Central,12,Boardroom Style,0.1449449449449449,0.9570707070707072,0.13872256094478314
0113_00_G.203,Central,20,Classroom Style,0.20670670670670666,0.832,0.17197997997997994
0113_00_G.204,Central,20,Classroom Style,0.1812812812812812,0.8148648648648649,0.14771974677380076
